#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B2E07B
#Date Time: 2024-12-03 12:35:00.186
#Start: 10 Hz
#Stop: 2e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.54648 V
#Offset: -0.000248277 V
#Relative: no
#Channel: Channel 2
#Range: 61.501 V
#Offset: 7.99769 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,0.01852138800207555,0.09254311818934853,-82.42614761842273
10.84776329307037,0.01899945239554478,0.8357360667813684,-83.38825036214691
11.76739684624847,0.01945713895268657,1.57165361328484,-84.42785277608664
12.76499355637263,0.01809099643975834,2.309357271425611,-85.32597576012586
13.84716285370986,0.01878340143436747,3.037598432535144,-86.36137129936742
15.02107449176414,0.01719937797377497,3.742715887675585,-87.33940096282811
16.29450604942344,0.01965592679882779,4.450143558563549,-88.25737879367477
17.67589446016487,0.01832312303123872,5.149270678062936,-89.18801686028667
19.17439190971621,0.01954831158720462,5.857088906582133,-90.10740453833498
20.7999264725165,0.01799235397287379,6.549998068439217,-90.95740891153019
22.56326788871268,0.01942244776307957,7.270405780400965,-91.93247536748665
24.47609891748909,0.01951459580864668,7.981198179286339,-92.83800681199695
26.55109273946971,0.01863923955564406,8.687903973853848,-93.7919375787814
28.80199692101268,0.01923702410359371,9.386154638587666,-94.81334787159906
31.24372449668873,0.01906553522157424,10.08099276260612,-95.78873157635829
33.8924527733983,0.01797405030674742,10.77186085257767,-96.85632308831765
36.76573051073913,0.01821352651157447,11.45086629967867,-97.93347949736082
39.88259418773125,0.0184940531919349,12.13355775161157,-99.08014700951129
43.26369412620929,0.01793047150301758,12.81415542096729,-100.2367752229659
46.93143130649175,0.01832291375600617,13.4806470927644,-101.4980098234387
50.91010578178139,0.01857699682747566,14.14995862514399,-102.7835331826037
55.2260776745938,0.01849630103270218,14.80461449907018,-104.1521736690732
59.90794182187106,0.01912422951334143,15.4563193828504,-105.6238874477551
64.98671722586884,0.01783326821431134,16.10441450575179,-107.121658255326
70.49605256599227,0.01792926364698045,16.72357184648389,-108.7448871851309
76.47244913317289,0.01870084979557776,17.34032341098099,-110.4199356864653
82.95550266380242,0.01723529374089448,17.94129536148889,-112.1970982229122
89.98816567545957,0.01734417890465495,18.52561823807066,-114.0426576147898
97.61703204249856,0.01881527191068993,19.0941959933468,-115.9995398860394
105.892645696909,0.01814972922028911,19.64540203316616,-118.0177631795541
114.8698354997034,0.0177834209879798,20.17810838335448,-120.1337309575247
124.6080785014715,0.01903635812180937,20.68440093427279,-122.2964013195613
135.1718939988294,0.02085985089572165,21.16328288321265,-124.5325029589166
146.6312709975298,0.02022057710934463,21.62454480898106,-126.8153468994668
159.0621319143258,0.01854313158294763,22.0554088272023,-129.161747976921
172.5468355897737,0.01891793309270009,22.45778078428502,-131.5343243707138
187.1747229446196,0.0189964271943667,22.8312884540374,-133.8967125140177
203.042708894926,0.01913793021093958,23.17656424047475,-136.283150263629
220.2559244475949,0.0207979480048345,23.49265115372898,-138.6252454906218
238.9284132303899,0.0204199985573319,23.7802302023075,-140.9770011145976
259.1838870712169,0.02041986736228534,24.0423738031301,-143.253944021305
281.1565456326443,0.02091887464515334,24.27756243654721,-145.478405641145
304.9919655320261,0.01989512039338533,24.49135188532339,-147.6505187258092
330.8480648379694,0.01849490469122516,24.68072706919955,-149.7371301361081
358.8961493332689,0.01811681151840644,24.84663259355622,-151.7550285125159
389.3220474761737,0.01963763649515394,24.99360478507139,-153.6591947278188
422.3273415795029,0.0195462584316025,25.12398051612765,-155.4888776472982
458.1307033646125,0.02106579613763293,25.23447776255367,-157.2213325255297
496.9693427387151,0.01874811040987616,25.33370206610785,-158.8648058620178
539.1005793942338,0.0205360614733507,25.41715624403638,-160.4057835736903
584.8035476425728,0.01871920852952299,25.49362974722928,-161.8538829617932
634.3810457774439,0.01959286239792398,25.55768108871062,-163.2152428564604
688.1615422204138,0.01863039341976829,25.6123257862453,-164.4910635836485
746.5013517401288,0.01889115280206733,25.66105116417919,-165.6789402455068
809.7869961633985,0.02106438858020868,25.70062841803777,-166.7719290731962
878.4377652187025,0.01961851181715183,25.73742039968735,-167.8120820879016
952.9084944786202,0.0198353121661022,25.76805733363554,-168.7877913994219
